File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_Sliders.g.i.cs,105,72,40,3,18,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_Swatches.g.cs,108,74,41,3,19,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_Swatches.g.i.cs,108,74,41,3,19,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_ValuesDisplay.g.cs,200,139,61,2,46,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_ValuesDisplay.g.i.cs,200,139,61,2,46,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Ascii.g.cs,200,140,66,2,45,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Ascii.g.i.cs,200,140,66,2,45,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Bases.g.cs,130,90,46,2,25,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Bases.g.i.cs,130,90,46,2,25,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Calculator.g.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Calculator.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Unicode.g.cs,101,68,39,2,18,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Unicode.g.i.cs,101,68,39,2,18,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion\Conversion_Units.g.cs,91,61,37,2,15,0,15,42,0,0
